  0.03s ~   1.09s (1.06s)  F2
  1.16s ~   1.26s (0.10s)  A2
  1.77s ~   1.85s (0.08s)  A2
  1.93s ~   2.07s (0.14s)  A2
  2.08s ~   2.15s (0.07s)  A2
  2.23s ~   2.37s (0.14s)  A2
  2.65s ~   2.84s (0.19s)  E2
  3.18s ~   3.25s (0.07s)  A2
  3.31s ~   3.39s (0.08s)  A2
  3.78s ~   3.85s (0.07s)  A2
  3.92s ~   4.08s (0.16s)  A2
  4.10s ~   4.19s (0.09s)  A2
  4.22s ~   4.29s (0.07s)  A2
  4.67s ~   4.78s (0.11s)  A2
  4.80s ~   4.86s (0.06s)  A2
  6.00s ~   6.11s (0.11s)  F#2
  6.27s ~   6.42s (0.15s)  F#2
  6.66s ~   6.85s (0.19s)  E2
  6.85s ~   6.99s (0.14s)  D#2
  7.00s ~   7.08s (0.08s)  D#2
  7.17s ~   7.38s (0.21s)  F#2
  7.92s ~   8.43s (0.51s)  F#2
  8.66s ~   8.79s (0.13s)  F#2
  8.96s ~   9.06s (0.10s)  E2
  9.06s ~   9.12s (0.06s)  D#2
  9.35s ~   9.59s (0.24s)  D#2
 10.05s ~  10.24s (0.19s)  D2
 10.32s ~  10.50s (0.18s)  D#2
 10.78s ~  10.87s (0.09s)  D#2
 10.92s ~  10.99s (0.07s)  F#2
 11.15s ~  11.35s (0.20s)  E2
 11.35s ~  11.45s (0.10s)  D#2
 11.90s ~  12.30s (0.40s)  E2
 12.34s ~  12.40s (0.06s)  D#2
 12.64s ~  12.80s (0.16s)  E2
 12.92s ~  13.01s (0.09s)  G#2
 13.15s ~  13.23s (0.08s)  A2
 13.29s ~  13.39s (0.10s)  A2
 13.90s ~  14.04s (0.14s)  A2
 14.05s ~  14.14s (0.09s)  A2
 14.16s ~  14.33s (0.17s)  A2
 14.50s ~  14.56s (0.06s)  A2
 14.62s ~  14.80s (0.18s)  E2
 15.13s ~  15.23s (0.10s)  A2
 15.26s ~  15.35s (0.09s)  A2
 15.41s ~  15.48s (0.07s)  A2
 15.87s ~  16.10s (0.23s)  A2
 16.62s ~  16.79s (0.17s)  E2
 17.14s ~  17.23s (0.09s)  A2
 17.27s ~  17.40s (0.13s)  A2
 17.89s ~  18.09s (0.20s)  A2
 18.63s ~  18.79s (0.16s)  E2
 18.89s ~  18.97s (0.08s)  G#2
 19.16s ~  19.26s (0.10s)  A2
 19.28s ~  19.39s (0.11s)  A2
 19.90s ~  20.04s (0.14s)  A2
