  0.70s ~   0.90s (0.20s)  F1
  1.99s ~   2.26s (0.27s)  D#2
  2.31s ~   2.56s (0.25s)  F2
  2.67s ~   2.90s (0.23s)  D2
  2.95s ~   3.50s (0.55s)  G1
  3.54s ~   3.68s (0.14s)  G1
  3.82s ~   3.92s (0.10s)  G1
  3.95s ~   4.06s (0.11s)  A#1
  4.14s ~   4.25s (0.11s)  G1
  4.27s ~   4.51s (0.24s)  A#1
  4.55s ~   4.67s (0.12s)  C2
  4.81s ~   4.96s (0.15s)  C2
  4.99s ~   5.10s (0.11s)  A1
  5.13s ~   5.22s (0.09s)  G1
  5.25s ~   5.36s (0.11s)  A#1
  5.36s ~   5.43s (0.07s)  A1
  5.46s ~   5.53s (0.07s)  G1
  5.57s ~   5.81s (0.24s)  A#1
  5.83s ~   5.94s (0.11s)  C2
  6.14s ~   6.27s (0.13s)  C2
  6.98s ~   7.07s (0.09s)  E1
  7.13s ~   7.19s (0.06s)  C2
  7.21s ~   7.43s (0.22s)  F2
  7.53s ~   7.77s (0.24s)  D#2
  7.86s ~   8.12s (0.26s)  D2
  8.20s ~   8.73s (0.53s)  G1
  8.76s ~   8.89s (0.13s)  G1
  8.90s ~   8.99s (0.09s)  E1
  9.05s ~   9.15s (0.10s)  G1
  9.18s ~   9.28s (0.10s)  A#1
  9.38s ~   9.46s (0.08s)  G1
  9.49s ~   9.72s (0.23s)  A#1
  9.74s ~   9.88s (0.14s)  C2
 10.04s ~  10.17s (0.13s)  C2
 10.20s ~  10.28s (0.08s)  A1
 10.47s ~  10.57s (0.10s)  A#1
 10.57s ~  10.65s (0.08s)  A1
 10.68s ~  10.77s (0.09s)  G1
 10.79s ~  11.00s (0.21s)  A#1
 11.03s ~  11.14s (0.11s)  C2
 11.32s ~  11.47s (0.15s)  C2
 11.50s ~  11.78s (0.28s)  A1
 12.19s ~  12.29s (0.10s)  E1
 12.34s ~  12.41s (0.07s)  C2
 12.43s ~  12.67s (0.24s)  D#2
 12.75s ~  12.99s (0.24s)  F2
 13.08s ~  13.34s (0.26s)  D2
 13.38s ~  13.90s (0.52s)  G1
 13.96s ~  14.10s (0.14s)  G1
 14.14s ~  14.20s (0.06s)  E1
 14.26s ~  14.35s (0.09s)  G1
 14.38s ~  14.50s (0.12s)  A#1
 14.58s ~  14.67s (0.09s)  G1
 14.70s ~  14.94s (0.24s)  A#1
 14.96s ~  15.06s (0.10s)  C2
 15.09s ~  15.16s (0.07s)  A1
 15.26s ~  15.39s (0.13s)  C2
 15.42s ~  15.53s (0.11s)  A1
 15.58s ~  15.66s (0.08s)  G1
 15.69s ~  15.85s (0.16s)  A#1
 15.89s ~  15.96s (0.07s)  G1
 16.01s ~  16.21s (0.20s)  A#1
 16.26s ~  16.37s (0.11s)  C2
 16.41s ~  16.52s (0.11s)  D2
 16.58s ~  16.70s (0.12s)  F2
 16.73s ~  16.87s (0.14s)  D#2
 16.90s ~  16.98s (0.08s)  C2
 17.01s ~  17.19s (0.18s)  A#1
 17.23s ~  17.34s (0.11s)  C2
 17.38s ~  17.48s (0.10s)  D2
 17.56s ~  17.67s (0.11s)  G2
 17.69s ~  17.81s (0.12s)  F2
 17.87s ~  17.96s (0.09s)  D2
 17.99s ~  18.12s (0.13s)  F2
 18.28s ~  18.60s (0.32s)  A#1
 18.65s ~  19.14s (0.49s)  G1
 19.18s ~  19.29s (0.11s)  G1
 19.32s ~  19.50s (0.18s)  A#1
 19.53s ~  19.61s (0.08s)  C2
 19.64s ~  19.81s (0.17s)  D2
 19.85s ~  19.94s (0.09s)  G2
 19.98s ~  20.15s (0.17s)  C2
 20.33s ~  20.48s (0.15s)  D3
 20.52s ~  20.61s (0.09s)  G2
 20.63s ~  20.80s (0.17s)  C3
 20.83s ~  20.91s (0.08s)  G2
 20.93s ~  21.11s (0.18s)  F2
 21.15s ~  21.44s (0.29s)  C3
 21.46s ~  21.57s (0.11s)  C3
 21.58s ~  21.76s (0.18s)  A#2
 21.78s ~  21.90s (0.12s)  A#2
 21.92s ~  22.08s (0.16s)  A2
 22.11s ~  22.20s (0.09s)  A2
 22.23s ~  22.43s (0.20s)  G2
 22.45s ~  22.52s (0.07s)  G2
 22.58s ~  22.74s (0.16s)  F2
 22.77s ~  22.89s (0.12s)  F2
